Punjabi,English
main,I
tūn,thou
asīn,we
ih,this
uh,that
kaun,who
kī,what
nahīn,not
sabh,all
bahut,many
ikk,one
do,two
vadda,big
lamba,long
choṭa,small
zanāni,woman
ādami,"man
(adult male)"
manukh,"man
(human being)"
panchhi,bird
kutta,dog
jūn,louse
darakhat,tree
bi,seed
patta,leaf
jar,root
chhill,bark
chamri,skin
mās,meat
khūn,blood
haddi,bone
charbi,fat (n.)
agg,fire
anda,egg
sing,horn
pūnchh,tail
khambh,feather
machchhi,fish
vāl,hair
sir,head
kann,ear
akkh,eye
nahun,fingernail
nakk,nose
mūnh,mouth
dand,tooth
jībh,tongue
pair,foot
goda,knee
hatth,hand
dhidd,belly
gardan,neck
chhāti,breast
dil,heart
jigar,liver
pīna,drink
khāna,eat
kattna,bite
dekhna,see
sunna,hear
jānna,know
sauna,sleep
marna,die
mārna,kill
tairna,swim
uddna,fly (v.)
turna,walk
auna,come
letna,lie
baithna,sit
kharna,stand
dena,give
kahina,say
sūraj,sun
chand,moon
tāra,star
pāni,water
mīnh,rain
patthar,stone
reta,sand
dharti,earth
baddal,cloud
dhūān,smoke
suāh,ashes
sārna,burn
sarak,road
pahār,mountain
lāl,red
hara,green
pīla,yellow
chitta,white
kāla,black
rāt,night
garam,warm
thanda,cold
pūra,full
navān,new
changa,good
gol,round
sukka,dry
nām,name
