Punjabi,English
main,I
tūn,thou
asīn,we
ih,this
uh,that
kaun,who
kī,what
nahīn,not
sabh,all
ikk,one
do,two
vadda,big
lamba,long
choṭa,small
zanāni,woman
ādami,"man
(adult male)"
manukh,"man
(human being)"
panchhi,bird
kutta,dog
jūn,louse
darakhat,tree
patta,leaf
jar,root
chamri,skin
mās,meat
khūn,blood
haddi,bone
charbi,fat (n.)
agg,fire
anda,egg
sing,horn
pūnchh,tail
khambh,feather
machchhi,fish
vāl,hair
sir,head
kann,ear
akkh,eye
nahun,fingernail
nakk,nose
mūnh,mouth
dand,tooth
jībh,tongue
goda,knee
dhidd,belly
gardan,neck
chhāti,breast
dil,heart
jigar,liver
pīna,drink
khāna,eat
kattna,bite
jānna,know
sauna,sleep
marna,die
mārna,kill
uddna,fly (v.)
turna,walk
auna,come
kharna,stand
dena,give
kahina,say
sūraj,sun
chand,moon
tāra,star
mīnh,rain
patthar,stone
reta,sand
dharti,earth
baddal,cloud
dhūān,smoke
suāh,ashes
sārna,burn
sarak,road
pahār,mountain
hara,green
pīla,yellow
chitta,white
kāla,black
garam,warm
thanda,cold
navān,new
changa,good
gol,round
sukka,dry
